Review
terima kasih mohon rasa nya jgn dkurangi
sambel nya enak bangedd
the best poll mantul 🥰🥰🥰
ususnya kurang garing:(
knp babat nya skr alot banget di makan. gak seperti dulu dulu yg empuk
babatx kurang banyak.
usus nya gk fres ya pahit rasanya
Terimakasih Bu🙏
sambelnya tambahin lagi dongg
sambalnya khas banget...
Mantap babat nya empuk parunya empuk juga ahhh mantap dehh 😍😍😍
Nasi madura terbaik se surabya
"enak sekalii, babat paru ususnya empuk dan tidak bau. enaaak"
Great restaurant
kalo bisa lalapan nya di plastikin sendiri... biar gak hitam2 kena panas nya nasi
"makin hari makin menurun kualitas nya. gak se enak dulu . sambel nya kurang needang, usus nya kalo goreng tlalu kering. babat nya alot. dulu pas masih awal awal empuk. knapa ya mbok semangat terus. di perbaiki"
Enak banget 🤩🤩🤩🤩🤩🤩
"Beli ke 3x nya, yg pertama empukk, kedua mayan olahraga rahang 😂 yg ke 3 ini sdh empuk lagi. Porsi nya itu lho, muantull, meski beli diskonan. Makasi mbok 😘"
mantab nasi babatnya
"sambalnya enak, usus nya enakkk ga bau sama sekaliii! bisa jadi langganan 😭❤️❤️"
"enak overall semuanya good kecuali serundengnya, better dipisah deh"
Uenak cocok pas banget
makan nasi babat paling enak pakai nasi buat apa berdebat kalau bisa berkolaborasi asek
Wueeenaakk tenan. Salam hormat
sambel nya enak banged
Nasinya asli ga enak
mohon klau di go food harganya di samain
RASA NYA MANTUL PORSI BANYAK ENAK COCOK BUAT ANAK ANAK KOS
enakk tp agak masi amis dikit
joss makyosss gobyos gobyoss
aku order lagi ya
PORSI NYA BANYAK BANGET COCOK BUAT ANAK KOS KOS AN YG BUTUH ENERGI FULL !!! THX U
recommended banget
mantapp enak banget
pesan nasi paru aja kok dikasi babat
gapelit sambel + serundengnya!!
SUKKAAAAAAAAAA. bakal re-order deh
mbok nya yg uleg sambel semangaaat banged. seneng liat nya kalo buyer nya serving dgn style yg kereeen. btw sambel nya syedaaaap sekali meski harga cabe lagi geilaaak. porsi nya gak di kurangin harga nya tetap
PORSI nya banyak banget keren terimakasih
okee uwenak bikin kenyang porsinya
"bintang 5 bgt. malem2 kelaperan di hotel, bingung pilih di gofood. akhirnya milih mbok moro tp di google kok tutup. pas ditelp, wah yg terima ramah bgt, plus bole nambah sambel. Sambel MANTAP, porsi melimpah, lauk fresh, penjual ramah dan tidak pelit, Rasa JOSS. FIX aku pasti bakal mampir kesana. Makasi banyak. Semoga bisa dipertahankan semuanya. Jangan ragu2 beli di sini!"
sambelnya manthheeebb
"rasanya enak, lauknya banyak dan empuk, porsi nasi jg bikin kenyang betul. Te o pe 👍👍 pertahankan yaa.."
PORSI NYA MELIMPAH CUCOK BUAT ANAK KOS
Porsinya banyakkk.. lauknya juga bnyakkk.. sambelnya mantap poll.. bisa buat langganan 😋
BARU TAU PADAHAL DEKET RUMAH TERNYATA ENAK POL GAK ALOT BLAS REK
eunakkkk polllll sambel nya jossssss
"PORSI NYA BANYAK , ANAK KOS WAJIB ORDER DI SINI MANTAPPP"
gini nihh sambelnya banyakk
PORSI NYA BUANYAK !!!!
sambelnya uendezzz pol
Sambelnyaa manteeepp.. pedes nampol. Minta tambah juga dikasih. Lauknya juga banyak. Rasanya perlu ditingkatkan lagiii hehe
"pengemasan kurang rapih , kesegaran lalapan hanya timun dan agak menguning , porsi lauk tidak sesuai harga"
"enak,lauknya banyak,nasinya jg knyang,sambelnya puedes mantep"
mantab poll. sambele ga aturan gaes
Joss. nasinya kurang banyak dikit😁
enakkk geilaaaak
Wenak pol sambelnya mantap
skr yg masak bukan mbok moro nya ya? rasa nya gak se enak dulu. alot babat nya. sambel nya sedikit
enaaaak bangeeed
"lauknya g amis,buat pecinta pedas,sambele recom banget,mantul pokoke,pertahankan 🤗👍"
mantappp soal rasa
"bintang 7 seharusnya ini 👍😍👍.,babat,usus enak bgt tdk bau,sambalnya mantabbb puol,nasi banyak"
"Ini sego babat terenak di sby menurutku, serundengnya enak, dan yg paling aku suka itu sambelnya🥳 bener bener underrated!"
"napa ya.... rasa nya gak se enak dulu???? babat nya alot, sambel nya asin. chef nya ganti kah? Aku kasik bintang 2... harapan nya semoga ke depan mbok moro rasa nya se enak 3 bulan yg lalu. sambel nya pedes nya nendang, babat nya empuk, paru nya lembut. semangat ya. di perbaiki"
kemasannya kalo bisa jangan styrofoam ya
sambel nya nendaaaaaang
oke eeee.. mantaaaaaaaabbbbbbb
pedes poll mantep sambelnya
"Enak cuy. Porsi wajar, biasanya nasi ginian lauknya seuprittt. Babat paru jg empuk, jd mak gw bisa makan 😂 Sambel e pedess. Mantoel 👍"
